Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-2012-12_Kemet-R_HandSolder,1,0.1uF,
C2,CP_EIA-2012-12_Kemet-R_HandSolder,1,10uF,
D1,0805,1,PWR,
D2,LED_RGB_5050-6,1,COLOR INDICATOR,
D3,0603,1,USER,
"J1, J2",PinSocket_1x28_P2.54mm_Vertical,2,Conn_01x28_Socket,
J3,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J5,PinSocket_1x09_P2.54mm_Vertical,1,TFT_Display_Conn_Socket,
J6,PinSocket_1x05_P2.54mm_Vertical,1,TFT_SD_Conn_Socket,
"R1, R7, R8",0805,3,10k,
"R2, R3, R4, R5, R6",0805,5,100,
"S1, S2",SW_B3F-4055,2,SW_B3F-4055,
U1,XDCR_COM-09032,1,~,
